,Unnamed: 0,r_index,book_id,authors,original_title,image_url,average_rating,ratings_count,genre,cleaned_desc
12,12,13,5470,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566l/5470.jpg,4.14,1956832,"fiction, fantasy",renowned urban artist shepard fairey s new look orwell s classic dystopian tale one britain s popular novels george orwell s nineteen eighty four set society terrorised totalitarian ideology propagated party winston smith works ministry truth london chief city airstrip one big brother stares every poster thought police uncover every act betrayal winston finds love julia discovers life dull deadening awakens new possibilities despite police helicopters hover circle overhead winston julia begin question party drawn towards conspiracy yet big brother tolerate dissent even mind original thoughts invented room 101 nineteen eighty four george orwell s terrifying vision totalitarian future everything everyone slave tyrannical regime novel also coined many new words phrases regular appear popular culture big brother thoughtcrime doublethink newspeak
13,13,14,7613,George Orwell,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542l/7613.jpg,3.87,1881700,"classics, fiction",satire totalitarianism farm animals overthrow human owner set government
14,14,15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407l/48855.jpg,4.1,1972666,"classics, history",dagboek waarin een gevoelig joods meisje ondergedoken een achterhuis op n der amsterdamse grachten zich met grote openhartigheid uitspreekt ales wat haar van haar 13e tot haar 15e jaar bezighoudt
15,15,16,2429135,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566l/2429135.jpg,4.11,1808403,"fiction, mystery",forty years disappearance harriet vanger secluded island owned inhabited powerful vanger family octogenarian uncle hires journalist mikael blomqvist lisbeth salander unconventional young hacker investigate
16,16,17,6148028,Suzanne Collins,Catching Fire,https://images.gr-assets.com/books/1358273780l/6148028.jpg,4.3,1831039,"fantasy, romance",winning hunger games katniss peeta secured life safety plenty families defying rules unwittingly become faces impending rebellion
17,17,18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281l/5.jpg,4.53,1832823,"fantasy, fiction",harry potter prisoner azkabanj k rowling mary grandpr rufus beck
18,18,19,34,J.R.R. Tolkien, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339l/34.jpg,4.34,1766803,"fantasy, classics",anticipation new film hobbit opening december 2012 comes reissue first book lord rings series reissue 200 000 first printing
19,19,20,7260188,Suzanne Collins,Mockingjay,https://images.gr-assets.com/books/1358275419l/7260188.jpg,4.03,1719760,"fiction, fantasy",two time hunger games survivor katniss everdeen targeted vengeful capitol vows make katniss district 12 pay current unrest
20,20,21,2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547l/2.jpg,4.46,1735368,"fantasy, fiction",government magic world authorities hogwarts school witchcraft wizardry refuse believe growing threat freshly revived lord voldemort fifteen year old harry potter finds support loyal friends facingthe evil wizard new terrors
21,21,22,12232938,Alice Sebold,The Lovely Bones,https://images.gr-assets.com/books/1457810586l/12232938.jpg,3.77,1605173,"fiction, mystery",spirit fourteen year old susie salmon describes murder surprise new home heaven witness family s grief efforts find killer attempts come terms happened first novel reader s guide included reprint 750 000 first printing
22,22,23,15881,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725l/15881.jpg,4.37,1779331,"fantasy, fiction",harry potter chamber secretsj k rowling mary grandpr
23,23,24,6,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611l/6.jpg,4.53,1753043,"fantasy, fiction",harry potter goblet fire harry midway training wizard coming age wants get away malicious dursleys go quidditch world cup hermione ron weasleys wants dream crush cho chang and maybe dream hes gotten hang things hogwartshe hopeshe wants normal fourteen year old wizard even standards harry s year anything normal first dumbledore announces revival grand competition taken place one hundred years triwizard tournament hogwarts champion compete rivals two schools magic three highly dangerous tasks someone frames harry participate tournamentwhich really means someone wants dead harry guided competition professor alastor moody year s defense dark arts teacher must also contend nasty reporter named rita skeeter digs highly unflattering secrets hagrid terrible fight ron deeply jealous harry s fame hermione s newfound activism behalf house elves terrifying prospect asking date yule ball worst all lord voldemort may finally gathered materials necessary rejuvenation faithful servant hogwarts waiting sign no nothing ever normal harry potter case different deadly
24,24,25,136251,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184l/136251.jpg,4.61,1746574,"fantasy, fiction",harry potter deathly hallows seventh final book epic tale harry potter harry lord voldemort prepare ultimate encounter voldemort takes control ministry magic installs severus snape headmaster hogwarts sends death eaters across country wreak havoc find harry meanwhile harry ron hermione embark desperate quest length breadth britain trying locate destroy voldemorts four remaining horcruxes magical objects hidden parts broken soul visit burrow grimmauld place ministry godrics hollow malfoy manor diagon alleybut every time solve one mystery three evolveand voldemort dumbledore harrys past three mysterious objects called deathly hallows hallows literally things childrens tale which real promise make possessor master death ensnare harry tantalizing claim invulnerability nigh unbearable loss brought back true purpose trio returns hogwarts final breathtaking battle forces good evil fight death eaters alongside members order phoenix dumbledores army weasley clan full array hogwarts teachers students yet everything turns upon moment entire series building to meeting story began moment harry voldemort face last
25,25,26,968,Dan Brown,The Da Vinci Code,https://images.gr-assets.com/books/1303252999l/968.jpg,3.79,1447148,"fiction, thriller",harvard symbologist robert langdon french cryptologist sophie neveu work solve murder elderly curator louvre case leads clues hidden works da vinci centuries old secret society
26,26,27,1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191l/1.jpg,4.54,1678823,"fantasy, fiction",harry enters sixth year hogwarts storm brewing battle good evil battle promises incredible consequences magic world
27,27,28,7624,William Golding,Lord of the Flies ,https://images.gr-assets.com/books/1327869409l/7624.jpg,3.64,1605019,"classics, fiction",classic study human nature depicts degeneration group schoolboys marooned desert island
28,28,29,18135,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146l/18135.jpg,3.73,1628519,"classics, fiction",excellent conceited tragedie romeo julietwilliam shakespeare robert jackson
29,29,30,8442457,Gillian Flynn,Gone Girl,https://images.gr-assets.com/books/1339602131l/8442457.jpg,4.03,512475,"mystery, crime",woman goes missing fifth wedding anniversary diary reveals hidden turmoil marriage husband desperate clear suspicion realizes something disturbing murder may occurred
30,30,31,4667024,Kathryn Stockett,The Help,https://images.gr-assets.com/books/1346100365l/4667024.jpg,4.45,1531753,"fiction, contemporary",limited persecuted racial divides 1962 jackson mississippi three women including african american maid sassy chronically unemployed friend recently graduated white woman team clandestine project backdrop budding civil rights era reprint 1 best selling novel 2 million first printing
31,31,32,890,John Steinbeck,Of Mice and Men ,https://images.gr-assets.com/books/1437235233l/890.jpg,3.84,1467496,"classics, fiction",tragic story friendship two migrant workers george mentally retarded lenny dream owning farm
32,32,33,930,Arthur Golden,Memoirs of a Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,4.08,1300209,"fiction, romance",national best seller japan s celebrated geisha confessions novel
33,33,34,10818853,E.L. James,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843l/10818853.jpg,3.67,1338493,"romance, fiction",anastasia steele young literature student interviews wealthy young entrepreneur christian grey campus magazine initial meeting introduces anastasia exciting new world change forever
34,34,35,865,"Paulo Coelho, Alan R. Clarke",O Alquimista,https://images.gr-assets.com/books/1483412266l/865.jpg,3.82,1299566,"fiction, classics",my heart afraid suffer boy told alchemist one night looked moonless sky tell heart fear suffering worse suffering itself heart ever suffered goes search dreams every decades book published changes lives readers forever alchemist book million half copies sold around world alchemist already established modern classic universally admired paulo coelho s charming fable available english first time enchant inspire even wider audience readers generations come alchemist magical story santiago andalusian shepherd boy yearns travel search worldly treasure extravagant ever found home spain journeys markets tangiers across egyptian desert fateful encounter alchemist story treasures santiago finds along way teaches us stories done essential wisdom listening hearts learning read omens strewn along life s path and all following dreams
35,35,36,3636,Lois Lowry,The Giver,https://images.gr-assets.com/books/1342493368l/3636.jpg,4.12,1296825,"fiction, classics",given lifetime assignment ceremony twelve jonas becomes receiver memories shared one community discovers terrible truth society lives
36,36,37,100915,C.S. Lewis,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077l/100915.jpg,4.19,1531800,"fantasy, classics",open door enter world
37,37,38,14050,Audrey Niffenegger,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815l/14050.jpg,3.95,746287,"fiction, romance",passionately love clare henry vow hold onto marriage struggle effects chrono displacement disorder condition casts henry involuntarily world time travel
38,38,39,13496,George R.R. Martin,A Game of Thrones,https://images.gr-assets.com/books/1436732693l/13496.jpg,4.45,1319204,"fiction, fantasy",kingdom royal stark family faces ultimate challenge onset generation long winter poisonous plots rival lannisters emergence neverborn demons arrival barbarian hordes reissue tv tie in
39,39,40,19501,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414l/19501.jpg,3.51,1181647,"memoir, travel",eat pray love one woman s search everything across italy india indonesiaelizabeth gilbert
40,40,41,28187,Rick Riordan,The Lightning Thief,https://images.gr-assets.com/books/1400602609l/28187.jpg,4.23,1366265,"fantasy, fiction",lightning thiefrick riordan
41,41,42,1934,Louisa May Alcott,Little Women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,4.04,1257121,"classics, fiction",little womenlouisa may alcott
42,42,43,10210,"Charlotte Brontë, Michael Mason",Jane Eyre,https://images.gr-assets.com/books/1327867269l/10210.jpg,4.1,1198557,"fiction, ebooks",retells classic story orphaned young woman accepts employment governess soon finds love employer
43,43,44,15931,Nicholas Sparks,The Notebook,https://images.gr-assets.com/books/1385738917l/15931.jpg,4.06,1053403,"fiction, romance",notebooknicholas sparks
44,44,45,4214,Yann Martel,Life of Pi,https://images.gr-assets.com/books/1320562005l/4214.jpg,3.88,1003228,"fantasy, classics",possessing encyclopedia like intelligence unusual zookeeper s son pi patel sets sail america ship sinks escapes life boat lost sea dwindling number animals hungry bengal tiger remain
45,45,46,43641,Sara Gruen,Water for Elephants,https://images.gr-assets.com/books/1494428973l/43641.jpg,4.07,1068146,"fiction, romance",water elephantssara gruen
46,46,47,19063,Markus Zusak,The Book Thief,https://images.gr-assets.com/books/1390053681l/19063.jpg,4.36,1159741,"fiction, classics",trying make sense horrors world war ii death relates story liesel a young german girl whose book stealing story telling talents help sustain family jewish man hiding well neighbors
47,47,48,4381,Ray Bradbury,Fahrenheit 451,https://images.gr-assets.com/books/1351643740l/4381.jpg,3.97,570498,"classics, fiction",totalitarian regime ordered books destroyed one book burners guy montag suddenly realizes merit
48,48,49,49041,Stephenie Meyer,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440l/49041.jpg,3.52,1149630,"fantasy, romance",new moon twilight 2 stephenie meyer
49,49,50,30119,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448l/30119.jpg,4.29,1016888,"poetry, classics",dreamer come in dreamer wisher liar hope er pray er magic bean buyer come sidewalk ends shel silversteins world begins youll meet boy turns tv set girl eats whale unicorn bloath live there sarah cynthia sylvia stout take garbage out place wash shadow plant diamond gardens place shoes fly sisters auctioned off crocodiles go dentist shel silversteins masterful collection poems drawings outrageously funny profound
50,50,51,256683,Cassandra Clare,City of Bones,https://images.gr-assets.com/books/1432730315l/256683.jpg,4.12,1154031,"paranormal, romance",suddenly able see demons shadowhunters dedicated returning dimension fifteen year old clary fray drawn bizarre world mother disappears clary almost killed monster
51,51,52,428263,Stephenie Meyer,Eclipse,https://images.gr-assets.com/books/1361038355l/428263.jpg,3.69,1134511,"fantasy, romance",readers captivated twilight new moon eagerly devour paperback edition eclipse third book stephenie meyer s riveting vampire love saga seattle ravaged string mysterious killings malicious vampire continues quest revenge bella finds surrounded danger midst all forced choose love edward friendship jacob knowing decision potential ignite ageless struggle vampire werewolf graduation quickly approaching bella one decision make life death which
52,52,53,113436,Christopher Paolini,Eragon,https://images.gr-assets.com/books/1366212852l/113436.jpg,3.86,1104021,"fantasy, fiction",alagaesia fifteen year old boy unknown lineage called eragon finds mysterious stone weaves life intricate tapestry destiny magic power peopled dragons elves monsters
53,53,54,11,Douglas Adams,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754l/11.jpg,4.2,936782,"fiction, fantasy",chronicles journeys notions acquaintances reluctant galactic traveler arthur dent accompanied never before published material late author s archives well commentary famous fans
54,54,55,5129,Aldous Huxley,Brave New World,https://images.gr-assets.com/books/1487389574l/5129.jpg,3.97,1022601,"classics, fiction",huxley s classic prophetic novel describes socialized horrors futuristic utopia devoid individual freedom
55,55,56,1162543,Stephenie Meyer,Breaking Dawn,https://images.gr-assets.com/books/1361039438l/1162543.jpg,3.7,1070245,"fantasy, contemporary",addition author s vampire love saga following new moon eclipse questions answered fate bella edward reissue
56,56,57,37435,Sue Monk Kidd,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532l/37435.jpg,4.01,916189,"fiction, classics",stand in mother bold black woman named rosaleen insults three biggest racists town lily owens joins rosaleen journey tiburon south carolina taken three black bee keeping sisters
57,57,58,2956,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850l/2956.jpg,3.8,953758,"classics, fiction",feisty young boy fakes death escape abusive father heads mississippi river newfound friend jim runaway slave
58,58,59,24178,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,https://images.gr-assets.com/books/1439632243l/24178.jpg,4.15,1064521,"classics, fiction",beloved generations charlotte s web stuart little two cherished stories time now first time ever treasured classics available lavish new collectors editions addition larger trim size original black and white art garth williams lovingly colorized renowned illustrator rosemary wells adding another dimension two perfect books young old alike
59,59,60,1618,Mark Haddon,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624l/1618.jpg,3.85,867553,"fiction, classics",curious incident dog night timemark haddon
60,60,61,22557272,Paula Hawkins,The Girl on the Train,https://images.gr-assets.com/books/1490903702l/22557272.jpg,3.88,1008778,"mystery, fiction",girl trainpaula hawkins
61,61,62,119322,Philip Pullman,Northern Lights,https://images.gr-assets.com/books/1451271747l/119322.jpg,3.94,953970,"fantasy, fiction",accompanied daemon lyra belacqua sets prevent best friend kidnapped children becoming subject gruesome experiments far north
62,62,63,6185,"Emily Brontë, Richard J. Dunn",Wuthering Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,3.82,899195,"classics, fiction",wuthering heightsemily bront richard j dunn
63,63,64,10917,Jodi Picoult,My Sister's Keeper,https://images.gr-assets.com/books/1369504683l/10917.jpg,4.06,863879,"fiction, contemporary",written grace wisdom sensitivity novel teen conceived bone marrow match sister kate happens begins question really is
64,64,65,4981,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389l/4981.jpg,4.06,846488,"classics, fiction",slaughterhouse five children s crusade duty dance death kurt vonnegut jr
65,65,66,18405,Margaret Mitchell,Gone with the Wind,https://images.gr-assets.com/books/1328025229l/18405.jpg,4.28,873981,"classics, fiction",turbulent romance scarlett o hara rhett butler shaped ravages civil war reconstruction
66,66,67,128029,Khaled Hosseini,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969l/128029.jpg,4.34,818742,"fiction, contemporary",thousand splendid sunskhaled hosseini
67,67,68,22628,Stephen Chbosky,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178l/22628.jpg,4.21,888806,"fiction, contemporary",series letters unknown correspondent reveals coming of age trials high schooler named charlie
68,68,69,11735983,Veronica Roth,Insurgent,https://images.gr-assets.com/books/1325667729l/11735983.jpg,4.07,836362,"fiction, fantasy",war surges dystopian society around her sixteen year old divergent tris prior must continue trying save loves and herself while grappling haunting questions grief forgiveness identity loyalty politics love
69,69,70,375802,Orson Scott Card,Ender's Game,https://images.gr-assets.com/books/1408303130l/375802.jpg,4.3,813439,"fiction, fantasy",new york times bestselling author orson scott card ender s game classic hugo nebula award winning science fiction novel young boy s recruitment midst interstellar war order develop secure defense hostile alien race s next attack government agencies breed child geniuses train soldiers brilliant young boy andrew ender wiggin lives kind distant parents sadistic brother peter person loves anyone else sister valentine peter valentine candidates soldier training program make cutyoung ender wiggin drafted orbiting battle school rigorous military training ender s skills make leader school respected battle room children play mock battles zero gravity yet growing artificial community young soldiers ender suffers greatly isolation rivalry peers pressure adult teachers unsettling fear alien invaders psychological battles include loneliness fear becoming like cruel brother remembers fanning flames devotion beloved sister ender general earth needs ender result genetic experiments war buggers raging hundred years quest perfect general underway almost long ender s two older siblings every bit unusual is different ways three lie abilities remake world if is world survives orson scott card s ender s game winner 1985 nebula award best novel 1986 hugo award best novel ender universe ender quintet series enders game ender exile speaker dead xenocide children mind enders shadow series enders shadow shadow hegemon shadow puppets shadow giant shadows flight children fleet first formic war with aaron johnston earth unaware earth afire earth awakens second formic war with aaron johnston swarm the hive ender novellas war gifts first meetings
70,70,71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375l/18490.jpg,3.75,808589,"classics, fiction",edited maurice hindle
71,71,72,11588,Stephen King,The Shining,https://images.gr-assets.com/books/1353277730l/11588.jpg,4.17,791850,"fiction, fantasy",jack torrance sees stint winter caretaker colorado hotel way back failure wife sees chance preserve family five year old son sees evil waiting them
72,72,73,1656001,Stephenie Meyer,The Host,https://images.gr-assets.com/books/1318009171l/1656001.jpg,3.84,749780,"fiction, paranormal",member species takes minds human bodies wanderer unable disregard host s love man hiding situation forces possessor host become unwilling allies first adult novel author eclipse
73,73,74,99561,John Green,Looking for Alaska,https://images.gr-assets.com/books/1394798630l/99561.jpg,4.09,783470,"fiction, contemporary",sixteen year old miles first year culver creek preparatory school alabama includes good friends great pranks defined search answers life death fatal car crash ala best book young adults ala quick pick reprint
74,74,76,14935,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,https://images.gr-assets.com/books/1397245675l/14935.jpg,4.06,738894,"fiction, ebooks",sisters elinor marianne dashwood set sights men perfectly match disparate personalities unexpected results
75,75,77,38709,"Louis Sachar, Louis Sachar",Holes,https://images.gr-assets.com/books/1327781893l/38709.jpg,3.93,747445,"fiction, mystery",holeslouis sachar louis sachar
76,76,78,5139,Lauren Weisberger,The Devil Wears Prada,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179604l/5139.jpg,3.7,665930,"fiction, contemporary",small town girl fresh ivy league college lands job prestigious fashion magazine wonders glamorous perks worth working editor hell
77,77,79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,https://images.gr-assets.com/books/1390173285l/1381.jpg,3.73,670326,"classics, fiction",new translation epic poem retells story odysseus s ten year voyage home ithaca trojan war
78,78,80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,https://images.gr-assets.com/books/1367545443l/157993.jpg,4.28,738757,"fantasy, philosophy",aviator whose plane forced sahara desert encounters little prince small planet relates adventures seeking secret important life howard s new translation beloved classic beautifully reflects saint exupery s unique gifted style color b w illustrations
79,79,81,7445,Jeannette Walls,The Glass Castle,https://images.gr-assets.com/books/1400930557l/7445.jpg,4.24,621099,"memoir, nonfiction",major motion picture lionsgate starring brie larson woody harrelson naomi watts seven years new york times bestseller list perennially bestselling extraordinary one of a kind nothing short spectacular entertainment weekly memoir one worlds gifted storytellers glass castle remarkable memoir resilience redemption revelatory look family deeply dysfunctional uniquely vibrant sober jeannettes brilliant charismatic father captured childrens imagination teaching physics geology embrace life fearlessly drank dishonest destructive mother free spirit abhorred idea domesticity didnt want responsibility raising family walls children learned take care themselves fed clothed protected one another eventually found way new york parents followed them choosing homeless even children prospered glass castle truly astonishinga memoir permeated intense love peculiar loyal family
80,80,82,1845,Jon Krakauer,Into the Wild,https://images.gr-assets.com/books/1403173986l/1845.jpg,3.94,647684,"nonfiction, biography",april 1992 young man well to do family hitchhikes alaska walks alone wilderness north mt mckinley four months later decomposed body found moose hunter chris mccandless came die unforgettable story wild
81,81,83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,https://images.gr-assets.com/books/1344922523l/1953.jpg,3.81,637412,"classics, fiction",edited introduction notes richard maxwell
82,82,84,7677,Michael Crichton,Jurassic Park,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348796998l/7677.jpg,3.96,447833,"fiction, thriller",american bioengineering research firm erects theme park caribbean island complete living dinosaurs invites group scientists first terrified guests
83,83,85,370493,Shel Silverstein,The Giving Tree,https://images.gr-assets.com/books/1174210942l/370493.jpg,4.38,702332,"classics, fiction",once tree loved little boy begins story unforgettable perception beautifully written illustrated gifted versatile shel silverstein every day boy would come tree eat apples swing branches slide trunk tree happy boy grew older began want tree tree gave gave gave tender story touched sadness aglow consolation shel silverstein created moving parable readers ages offers affecting interpretation gift giving serene acceptance another s capacity love return miniature full cloth gold stamped edition treasured ages
84,84,86,32542,John Grisham,A Time to Kill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029l/32542.jpg,4.03,597775,"fiction, mystery",southern town shocked 10 year old black girl raped two white men until girl s father takes law hands
85,85,87,1617,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,https://images.gr-assets.com/books/1473495285l/1617.jpg,4.3,691231,"classics, history",narrative boy lived auschwitz buchenwald provides short terrible indictment modern humanity
86,86,88,6442769,John Green,Paper Towns,https://images.gr-assets.com/books/1349013610l/6442769.jpg,3.88,461311,"contemporary, fiction",one month graduating central florida high school quentin q jacobsen basks predictable boringness life beautiful exciting margo roth spiegelman q s neighbor classmate takes midnight adventure mysteriously disappears ala best book young adults reprint
87,87,89,21787,William Goldman,The Princess Bride,https://images.gr-assets.com/books/1327903636l/21787.jpg,4.25,628637,"ebooks, contemporary",classic swashbuckling romance retells tale drunken swordsman gentle giant come aid westley handsome farm boy buttercup princess dire need rescue evil schemers surrounding her reader s guide available simultaneous
88,88,90,231804,S.E. Hinton,The Outsiders,https://images.gr-assets.com/books/1442129426l/231804.jpg,4.06,659248,"fiction, classics",struggle three brothers stay together parent s death quest identity among conflicting values adolescent society
89,89,91,6186357,James Dashner,The Maze Runner,https://images.gr-assets.com/books/1375596592l/6186357.jpg,4.02,719925,"fiction, fantasy",sixteen year old thomas wakes memory middle maze realizes must work community finds escape
