,Unnamed: 0,book_id,isbn13,authors,original_title,average_rating,ratings_count,image_url
24,24,968,9780307277670.0,Dan Brown,The Da Vinci Code,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
25,25,1,9780439785970.0,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
26,26,7624,9780140283330.0,William Golding,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
30,30,890,9780142000670.0,John Steinbeck,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
31,31,930,9780739326220.0,Arthur Golden,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
33,33,865,9780061122420.0,"Paulo Coelho, Alan R. Clarke",O Alquimista,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
34,34,3636,9780385732550.0,Lois Lowry,The Giver,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
40,40,1934,9780451529300.0,Louisa May Alcott,Little Women,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,43,4214,9780770430080.0,Yann Martel,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,46,4381,9780307347980.0,Ray Bradbury,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg
51,51,11,9780345391800.0,Douglas Adams,The Hitchhiker's Guide to the Galaxy,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
52,52,5129,9780060929880.0,Aldous Huxley,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
55,55,2956,9780142437180.0,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
57,57,1618,9781400032720.0,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
59,59,6185,9780393978900.0,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
61,61,4981,9780385333850.0,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
73,73,5139,9780307275550.0,Lauren Weisberger,The Devil Wears Prada,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
74,74,1381,9780143039950.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
76,76,7445,9780743247540.0,Jeannette Walls,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
77,77,1953,9780141439600.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
78,78,7677,9780307348140.0,Michael Crichton,Jurassic Park,3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
81,81,1617,9780374500020.0,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
86,86,1202,9780061234000.0,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
87,87,2998,9780517189600.0,Frances Hodgson Burnett,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
88,88,320,9780060531040.0,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
89,89,5297,9780375751520.0,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
94,94,7244,9780060786500.0,Barbara Kingsolver,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
95,95,4137,9780349113910.0,David Sedaris,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
97,97,7126,9780140449270.0,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
98,98,6288,9780307265430.0,Cormac McCarthy,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
100,101,3473,9780446693810.0,Nicholas Sparks,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
101,102,9416,9780440241420.0,Sophie Kinsella,Confessions of a Shopaholic,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
106,107,6900,9780751529810.0,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
107,108,2187,9780312422160.0,Jeffrey Eugenides,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
110,111,7763,9780143038090.0,Amy Tan,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
115,117,1420,9780521618750.0,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
117,119,2612,9780316346630.0,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
120,122,2165,9780684830490.0,Ernest Hemingway,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
121,123,4395,9780142000660.0,John Steinbeck,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
122,124,3431,9781401308580.0,Mitch Albom,The Five People You Meet in Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
123,125,8127,9780451528830.0,L.M. Montgomery,Anne of Green Gables,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
131,133,5043,9780451207140.0,Ken Follett,The Pillars of the Earth,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,135,976,9780671027380.0,Dan Brown,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
136,138,2865,9780452287020.0,Tracy Chevalier,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
138,140,4989,9780312353770.0,Anita Diamant,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
140,142,5526,9780446528050.0,Nicholas Sparks,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
142,144,8852,9780743477110.0,William Shakespeare,The Tragedy of Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
146,148,6310,9780142403880.0,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
148,150,2623,9780192833590.0,Charles Dickens,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
154,157,4407,9780747263750.0,Neil Gaiman,American Gods,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
158,161,6969,9780141439590.0,"Jane Austen, Fiona Stafford",Emma,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg
164,167,7144,9780143058140.0,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg
165,168,6514,9780061148510.0,Sylvia Plath,The Bell Jar,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg
175,179,33,9780618640160.0,J.R.R. Tolkien,The Lord of the Rings,4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
182,186,5759,9780393327340.0,Chuck Palahniuk,Fight Club,4.2,365349,https://images.gr-assets.com/books/1357128997m/5759.jpg
189,194,5326,9781561797460.0,Charles Dickens,A Christmas Carol,4.02,394540,https://images.gr-assets.com/books/1406512317m/5326.jpg
192,197,6853,9780312362090.0,Janet Evanovich,One for the Money,4.03,391007,https://images.gr-assets.com/books/1316730230m/6853.jpg
196,201,6867,9780385721790.0,Ian McEwan,Atonement,3.88,347006,https://images.gr-assets.com/books/1320449708m/6867.jpg
205,210,7869,9780752864330.0,Robert Ludlum,The Bourne Identity,3.98,327122,https://images.gr-assets.com/books/1335860740m/7869.jpg
207,212,4406,9780142000660.0,John Steinbeck,East of Eden,4.35,320919,https://images.gr-assets.com/books/1441547516m/4406.jpg
209,214,5359,9780385339090.0,John Grisham,The Client,3.97,320083,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
212,217,2156,9780192802640.0,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,4.13,365425,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
215,220,9712,9781400034680.0,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,3.89,283806,https://images.gr-assets.com/books/1327124987m/9712.jpg
218,223,1898,9780385494790.0,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,291258,https://images.gr-assets.com/books/1463384482m/1898.jpg
221,226,8908,9780307346600.0,Max Brooks,World War Z: An Oral History of the Zombie War,4.01,312969,https://images.gr-assets.com/books/1386328204m/8908.jpg
226,231,2839,9780439366780.0,Katherine Paterson,Bridge to Terabithia,3.98,337644,https://images.gr-assets.com/books/1327880087m/2839.jpg
229,234,1622,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,3.94,334241,https://images.gr-assets.com/books/1327874534m/1622.jpg
230,235,4588,9780618711660.0,Jonathan Safran Foer,Extremely Loud and Incredibly Close,3.97,294726,https://images.gr-assets.com/books/1327879967m/4588.jpg
236,241,662,9780452011880.0,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,3.68,283295,https://images.gr-assets.com/books/1405868167m/662.jpg
238,243,1232,9780143034900.0,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,4.24,263685,https://images.gr-assets.com/books/1344545047m/1232.jpg
240,245,4865,9780671723650.0,Dale Carnegie,How to Win Friends and Influence People,4.13,282623,https://images.gr-assets.com/books/1442726934m/4865.jpg
244,249,3876,9780743297330.0,Ernest Hemingway,The Sun Also Rises,3.83,284988,https://images.gr-assets.com/books/1331828228m/3876.jpg
248,253,6334,9781400078780.0,Kazuo Ishiguro,Never Let Me Go,3.8,294123,https://images.gr-assets.com/books/1353048590m/6334.jpg
252,257,6952,9780552995870.0,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,3.94,263199,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
253,258,1103,9780812968060.0,Lisa See,Snow Flower and the Secret Fan,4.05,280475,https://images.gr-assets.com/books/1327880508m/1103.jpg
266,271,2122,9780451191150.0,"Ayn Rand, Leonard Peikoff",The Fountainhead,3.85,244545,https://images.gr-assets.com/books/1491163636m/2122.jpg
272,277,295,9780753453800.0,Robert Louis Stevenson,Treasure Island,3.82,268012,https://images.gr-assets.com/books/1485248909m/295.jpg
275,280,4948,9780241003010.0,Eric Carle,The Very Hungry Caterpillar,4.29,296952,https://images.gr-assets.com/books/1327878225m/4948.jpg
277,282,2493,9780451528550.0,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,3.87,276076,https://images.gr-assets.com/books/1327942880m/2493.jpg
282,287,5203,9780671021010.0,Wally Lamb,She's Come Undone,3.84,259576,https://images.gr-assets.com/books/1408313457m/5203.jpg
287,292,3412,9780380018180.0,Colleen McCullough,The Thorn Birds,4.22,255651,https://images.gr-assets.com/books/1391416796m/3412.jpg
291,296,4894,9780091883770.0,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,3.74,237272,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
292,297,9791,9780307279460.0,Bill Bryson,A Walk in the Woods,4.05,250192,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
299,304,9717,9780571224390.0,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí,4.08,205279,https://images.gr-assets.com/books/1265401884m/9717.jpg
300,305,4473,9780552135400.0,John Irving,A Prayer for Owen Meany,4.22,226964,https://images.gr-assets.com/books/1260470010m/4473.jpg
310,315,6689,9780375814240.0,"Roald Dahl, Quentin Blake",James and the Giant Peach,3.99,270402,https://images.gr-assets.com/books/1320412586m/6689.jpg
312,317,13,9780345453750.0,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,4.37,222842,https://images.gr-assets.com/books/1404613595m/13.jpg
315,320,1371,9780140275360.0,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς,3.83,241088,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
322,328,7745,9780679785900.0,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,232489,https://images.gr-assets.com/books/1394204569m/7745.jpg
326,332,6149,9781400033420.0,Toni Morrison,Beloved,3.77,233825,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
332,338,7082,9780345404470.0,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,4.08,223828,https://images.gr-assets.com/books/1435458683m/7082.jpg
336,342,5805,9781401207920.0,"Alan Moore, David   Lloyd",V for Vendetta,4.25,210682,https://images.gr-assets.com/books/1343668985m/5805.jpg
337,343,2203,9780743223130.0,David McCullough,John Adams,4.05,215780,https://images.gr-assets.com/books/1478144278m/2203.jpg
342,348,350,9780441788380.0,Robert A. Heinlein,Stranger in a Strange Land,3.91,220301,https://images.gr-assets.com/books/1156897088m/350.jpg
344,350,6319,9780141311370.0,"Roald Dahl, Quentin Blake",The BFG,4.22,245855,https://images.gr-assets.com/books/1327872673m/6319.jpg
345,351,21,9780767908180.0,Bill Bryson,A Short History of Nearly Everything,4.19,191535,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
346,352,1852,9780439227150.0,Jack London,The Call of the Wild,3.83,223932,https://images.gr-assets.com/books/1452291694m/1852.jpg
352,358,5168,9780446672210.0,Billie Letts,Where the Heart Is,4.0,208333,https://images.gr-assets.com/books/1327959469m/5168.jpg
354,360,1241,9780307276900.0,James Frey,A Million Little Pieces,3.62,184241,https://images.gr-assets.com/books/1483206985m/1241.jpg
359,365,50,9780689840920.0,Gary Paulsen,Hatchet,3.68,222553,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
362,368,7784,9780679889110.0,Dr. Seuss,The Lorax,4.35,226564,https://images.gr-assets.com/books/1327879938m/7784.jpg
368,374,343,9780140120840.0,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders,4.0,178135,https://images.gr-assets.com/books/1409112276m/343.jpg
369,375,1097,9780060838580.0,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal,3.73,179347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
375,381,4980,9780385334200.0,Kurt Vonnegut Jr.,Breakfast of Champions,4.08,178154,https://images.gr-assets.com/books/1327934446m/4980.jpg
377,383,5826,9780060838720.0,Ann Patchett,Bel Canto,3.92,192330,https://images.gr-assets.com/books/1352997328m/5826.jpg
378,384,1842,9780739467350.0,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",4.0,171558,https://images.gr-assets.com/books/1453215833m/1842.jpg
379,385,9375,9780375508420.0,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,4.26,207508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385,392,6327,9780590032490.0,"Roald Dahl, Quentin Blake",The Witches,4.17,221431,https://images.gr-assets.com/books/1351707720m/6327.jpg
389,396,3478,9780446676080.0,Nicholas Sparks,Message in a Bottle,3.95,185116,https://images.gr-assets.com/books/1163789140m/3478.jpg
399,406,4929,9781400079280.0,"Haruki Murakami, Philip Gabriel",海辺のカフカ [Umibe no Kafuka],4.13,167593,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
405,412,9777,9780679457310.0,Arundhati Roy,The God of Small Things,3.91,165378,https://images.gr-assets.com/books/1436217001m/9777.jpg
408,415,3869,9780553380160.0,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time: From the Big Bang to Black Holes,4.12,165628,https://images.gr-assets.com/books/1333578746m/3869.jpg
411,418,830,9780553380960.0,Neal Stephenson,Snow Crash,4.02,175883,https://images.gr-assets.com/books/1477624625m/830.jpg
430,437,1078,9781416500190.0,Pearl S. Buck,The Good Earth,3.97,182220,https://images.gr-assets.com/books/1312497600m/1078.jpg
431,438,2784,9780140135150.0,John Berger,Ways of Seeing,3.75,155658,https://images.gr-assets.com/books/1464018308m/2784.jpg
432,439,5364,9780385335970.0,Diana Gabaldon,Dragonfly in Amber,4.31,178110,https://images.gr-assets.com/books/1456114344m/5364.jpg
440,447,4069,9780807014300.0,Viktor E. Frankl,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,4.33,171281,https://images.gr-assets.com/books/1467136625m/4069.jpg
444,451,7069,9780345915600.0,John Irving,The World According to Garp,4.07,167106,https://images.gr-assets.com/books/1447234581m/7069.jpg
446,453,2932,9780375757330.0,"Daniel Defoe, Gerald McCann, Virginia Woolf","The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",3.66,178188,https://images.gr-assets.com/books/1403180114m/2932.jpg
451,458,5113,9780316769020.0,J.D. Salinger,Franny and Zooey,3.98,152906,https://images.gr-assets.com/books/1355037988m/5113.jpg
453,460,4934,9780374528380.0,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы,4.3,155838,https://images.gr-assets.com/books/1427728126m/4934.jpg
455,462,7670,9780060541810.0,Michael Crichton,The Andromeda Strain,3.87,173186,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
457,464,2547,9780001000390.0,Kahlil Gibran,The Prophet,4.22,142641,https://images.gr-assets.com/books/1355046521m/2547.jpg
460,467,7967,9780812550760.0,Orson Scott Card,Speaker for the Dead,4.04,164287,https://images.gr-assets.com/books/1295660894m/7967.jpg
463,470,4953,9780375725780.0,Dave Eggers,A Heartbreaking Work of Staggering Genius,3.68,145459,https://images.gr-assets.com/books/1327714834m/4953.jpg
464,471,1295,9780553381670.0,Jean M. Auel,The Clan of the Cave Bear,4.02,176062,https://images.gr-assets.com/books/1385331302m/1295.jpg
465,472,3685,9780439228910.0,Anna Sewell,Black Beauty,3.94,183255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
466,473,656,9780192833980.0,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ,4.11,168037,https://images.gr-assets.com/books/1413215930m/656.jpg
469,476,7061,9781400034770.0,Alexander McCall Smith,The No. 1 Ladies' Detective Agency,3.75,180320,https://images.gr-assets.com/books/1459953654m/7061.jpg
475,482,1869,9780805063900.0,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,3.6,152786,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
478,485,6534,9780743477150.0,Patricia Cornwell,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,4.01,167379,https://images.gr-assets.com/books/1341835831m/6534.jpg
481,488,3590,9780192835090.0,Arthur Conan Doyle,The Adventures of Sherlock Holmes,4.29,139816,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
483,490,3985,9780312283000.0,Michael Chabon,The Amazing Adventures of Kavalier & Clay,4.17,147717,https://images.gr-assets.com/books/1479660066m/3985.jpg
496,503,7733,9780141439500.0,"Jonathan Swift, Robert DeMaria Jr.",Gulliver’s Travels,3.55,168727,https://images.gr-assets.com/books/1427829692m/7733.jpg
507,514,3008,9780142437020.0,"Frances Hodgson Burnett, Nancy Bond",A Little Princess,4.2,199872,https://images.gr-assets.com/books/1327868556m/3008.jpg
513,520,629,9780060589460.0,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance,3.76,139411,https://images.gr-assets.com/books/1410136019m/629.jpg
514,521,8909,9780375759240.0,"H.G. Wells, Arthur C. Clarke",The War of the Worlds,3.8,159752,https://images.gr-assets.com/books/1320391644m/8909.jpg
517,524,3109,9781594200820.0,Michael Pollan,The Omnivore's Dilemma,4.17,133271,https://images.gr-assets.com/books/1393804353m/3109.jpg
519,526,3462,9780446696130.0,Nicholas Sparks,The Rescue,4.1,142092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
526,533,2175,9780192840390.0,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary,3.64,158877,https://images.gr-assets.com/books/1335676143m/2175.jpg
527,534,378,9780394820380.0,"Norton Juster, Jules Feiffer",The Phantom Tollbooth,4.22,178432,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
536,544,1274,9780060574220.0,John Gray,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",3.52,113915,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
538,546,7669,9780099244720.0,Michael Crichton,Timeline,3.83,148563,https://images.gr-assets.com/books/1405420745m/7669.jpg
548,556,3682,9780689875340.0,Libba Bray,A Great and Terrible Beauty,3.79,173613,https://images.gr-assets.com/books/1284558475m/3682.jpg
557,565,5148,9780743253970.0,John Knowles,A Separate Peace,3.56,155901,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
558,566,5349,9780385339600.0,John Grisham,The Rainmaker,3.91,137412,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
559,567,3836,9780142437230.0,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quijote de La Mancha,3.85,134931,https://images.gr-assets.com/books/1364958765m/3836.jpg
561,569,8695,9780345418920.0,Douglas Adams,The Restaurant at the End of the Universe,4.22,153838,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
573,581,7332,9780618391110.0,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion,3.87,134106,https://images.gr-assets.com/books/1336502583m/7332.jpg
574,582,5094,9780451210850.0,Stephen King,The Drawing of the Three,4.23,139052,https://images.gr-assets.com/books/1370918050m/5094.jpg
580,588,8921,9780451528020.0,"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles,4.09,154517,https://images.gr-assets.com/books/1355929358m/8921.jpg
587,595,5166,9780375706780.0,Chris Bohjalian,Midwives,3.97,133155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
591,599,1431,9780061124270.0,"Paulo Coelho, Margaret Jull Costa",Veronika decide morrer,3.69,111856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
600,608,93,9780753454950.0,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Heidi,3.97,144497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
603,611,5064,9780525950070.0,Ken Follett,World Without End,4.23,128715,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
606,615,2696,9780140424390.0,"Geoffrey Chaucer, Nevill Coghill",Tales of Caunterbury,3.48,148480,https://images.gr-assets.com/books/1261208589m/2696.jpg
613,622,2526,9780156007760.0,"José Saramago, Giovanni Pontiero",Ensaio Sobre a Cegueira,4.08,98738,https://images.gr-assets.com/books/1327866409m/2526.jpg
618,627,3805,9781841156740.0,Jonathan Franzen,The Corrections,3.78,117657,https://images.gr-assets.com/books/1355011305m/3805.jpg
620,629,7672,9780060541840.0,Michael Crichton,Congo,3.55,129811,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
622,631,5439,9780618101370.0,Jhumpa Lahiri,Interpreter of Maladies,4.12,110651,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
623,632,2767,9780060838650.0,Howard Zinn,A People's History of the United States: 1492 to Present,4.07,137372,https://images.gr-assets.com/books/1494279423m/2767.jpg
626,635,2744,9780060515200.0,Neil Gaiman,Anansi Boys,4.0,137639,https://images.gr-assets.com/books/1479778049m/2744.jpg
