,book_id,isbn,authors,original_publication_year,original_title,image_url,average_rating
27,7624,140283331,William Golding,1954.0,Lord of the Flies ,https://images.gr-assets.com/books/1327869409m/7624.jpg,3.64
28,18135,743477111,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,3.73
29,8442457,297859382,Gillian Flynn,2012.0,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg,4.03
30,4667024,399155341,Kathryn Stockett,2009.0,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,4.45
31,890,142000671,John Steinbeck,1937.0,Of Mice and Men ,https://images.gr-assets.com/books/1437235233m/890.jpg,3.84
32,930,739326228,Arthur Golden,1997.0,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.08
33,10818853,1612130291,E.L. James,2011.0,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843m/10818853.jpg,3.67
34,865,61122416,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,https://images.gr-assets.com/books/1483412266m/865.jpg,3.82
35,3636,385732554,Lois Lowry,1993.0,The Giver,https://images.gr-assets.com/books/1342493368m/3636.jpg,4.12
36,100915,60764899,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077m/100915.jpg,4.19
37,14050,965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg,3.95
38,13496,553588486,George R.R. Martin,1996.0,A Game of Thrones,https://images.gr-assets.com/books/1436732693m/13496.jpg,4.45
39,19501,143038419,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414m/19501.jpg,3.51
40,28187,786838655,Rick Riordan,2005.0,The Lightning Thief,https://images.gr-assets.com/books/1400602609m/28187.jpg,4.23
41,1934,451529308,Louisa May Alcott,1868.0,Little Women,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.04
42,10210,142437204,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg,4.1
43,15931,553816713,Nicholas Sparks,1996.0,The Notebook,https://images.gr-assets.com/books/1385738917m/15931.jpg,4.06
44,4214,770430074,Yann Martel,2001.0,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,3.88
45,43641,1565125606,Sara Gruen,2006.0,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg,4.07
46,19063,375831002,Markus Zusak,2005.0,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,4.36
47,4381,307347974,Ray Bradbury,1953.0,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg,3.97
48,49041,316160199,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,3.52
49,30119,60513039,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg,4.29
51,428263,316160202,Stephenie Meyer,2007.0,Eclipse,https://images.gr-assets.com/books/1361038355m/428263.jpg,3.69
52,113436,375826696,Christopher Paolini,2002.0,Eragon,https://images.gr-assets.com/books/1366212852m/113436.jpg,3.86
53,11,345391802,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754m/11.jpg,4.2
54,5129,60929871,Aldous Huxley,1932.0,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,3.97
55,1162543,031606792X,Stephenie Meyer,2008.0,Breaking Dawn,https://images.gr-assets.com/books/1361039438m/1162543.jpg,3.7
56,37435,142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg,4.01
57,2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg,3.8
58,24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,4.15
59,1618,1400032717,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg,3.85
60,22557272,1594633665,Paula Hawkins,2015.0,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg,3.88
62,6185,393978893,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.82
63,10917,743454537,Jodi Picoult,2004.0,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg,4.06
64,4981,385333846,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389m/4981.jpg,4.06
65,18405,446675539,Margaret Mitchell,1936.0,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg,4.28
66,128029,1594489505,Khaled Hosseini,2007.0,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg,4.34
67,22628,671027344,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg,4.21
68,11735983,7442912,Veronica Roth,2012.0,Insurgent,https://images.gr-assets.com/books/1325667729m/11735983.jpg,4.07
69,375802,812550706,Orson Scott Card,1985.0,Ender's Game,https://images.gr-assets.com/books/1408303130m/375802.jpg,4.3
70,18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375m/18490.jpg,3.75
71,11588,450040186,Stephen King,1977.0,The Shining,https://images.gr-assets.com/books/1353277730m/11588.jpg,4.17
72,1656001,316068047,Stephenie Meyer,2008.0,The Host,https://images.gr-assets.com/books/1318009171m/1656001.jpg,3.84
73,99561,142402516,John Green,2005.0,Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg,4.09
75,14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg,4.06
76,38709,439244196,"Louis Sachar, Louis Sachar",1998.0,Holes,https://images.gr-assets.com/books/1327781893m/38709.jpg,3.93
77,5139,307275558,Lauren Weisberger,2003.0,The Devil Wears Prada,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7
78,1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,https://images.gr-assets.com/books/1390173285m/1381.jpg,3.73
79,157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg,4.28
80,7445,074324754X,Jeannette Walls,2005.0,The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg,4.24
82,1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg,3.81
83,7677,030734813X,Michael Crichton,1990.0,Jurassic Park,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.96
84,370493,60256656,Shel Silverstein,1964.0,The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg,4.38
85,32542,385338600,John Grisham,1989.0,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.03
86,1617,374500010,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,https://images.gr-assets.com/books/1473495285m/1617.jpg,4.3
87,6442769,014241493X,John Green,2008.0,Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg,3.88
88,21787,345418263,William Goldman,1973.0,The Princess Bride,https://images.gr-assets.com/books/1327903636m/21787.jpg,4.25
89,231804,014038572X,S.E. Hinton,1967.0,The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg,4.06
90,6186357,385737947,James Dashner,2009.0,The Maze Runner,https://images.gr-assets.com/books/1375596592m/6186357.jpg,4.02
91,1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,https://images.gr-assets.com/books/1327909092m/1202.jpg,3.93
92,2998,517189607,Frances Hodgson Burnett,1911.0,The Secret Garden,https://images.gr-assets.com/books/1327873635m/2998.jpg,4.12
93,320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,https://images.gr-assets.com/books/1327881361m/320.jpg,4.04
94,5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966m/5297.jpg,4.06
95,13536860,345803507,E.L. James,2012.0,Fifty Shades Freed,https://images.gr-assets.com/books/1336418837m/13536860.jpg,3.88
96,17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,https://images.gr-assets.com/books/1387151694m/17245.jpg,3.98
97,5060378,307269981,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,https://images.gr-assets.com/books/1351778881m/5060378.jpg,4.22
98,11857408,1612130585,E.L. James,2011.0,Fifty Shades Darker,https://images.gr-assets.com/books/1358266080m/11857408.jpg,3.87
99,7244,60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487m/7244.jpg,4.02
100,4137,349113912,David Sedaris,2000.0,Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.97
101,19543,99408392,Maurice Sendak,1963.0,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560m/19543.jpg,4.22
102,7126,140449264,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,https://images.gr-assets.com/books/1309203605m/7126.jpg,4.21
103,6288,307265439,Cormac McCarthy,2006.0,The Road,https://images.gr-assets.com/books/1439197219m/6288.jpg,3.95
104,18710190,7524277,Veronica Roth,2013.0,Allegiant,https://images.gr-assets.com/books/1395582745m/18710190.jpg,3.63
105,9418327,,Tina Fey,2011.0,Bossypants,https://images.gr-assets.com/books/1481509554m/9418327.jpg,3.94
106,3473,446693804,Nicholas Sparks,1999.0,A Walk to Remember,https://images.gr-assets.com/books/1385738968m/3473.jpg,4.15
107,9416,440241413,Sophie Kinsella,2000.0,Confessions of a Shopaholic,https://images.gr-assets.com/books/1327872404m/9416.jpg,3.61
108,24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,https://images.gr-assets.com/books/1411852091m/24280.jpg,4.14
110,10441,143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.64
111,15507958,670026603,Jojo Moyes,2012.0,Me Before You,https://images.gr-assets.com/books/1357108762m/15507958.jpg,4.27
112,168668,684833395,Joseph Heller,1961.0,Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg,3.98
113,6900,751529818,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749m/6900.jpg,4.06
114,2187,312422156,Jeffrey Eugenides,2002.0,Middlesex,https://images.gr-assets.com/books/1437029776m/2187.jpg,3.98
115,24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979m/24583.jpg,3.89
116,18131,440498058,Madeleine L'Engle,1962.0,A Wrinkle in Time,https://images.gr-assets.com/books/1329061522m/18131.jpg,4.04
117,7763,143038095,Amy Tan,1989.0,The Joy Luck Club,https://images.gr-assets.com/books/1304978653m/7763.jpg,3.9
118,38447,038549081X,Margaret Atwood,1985.0,The Handmaid's Tale,https://images.gr-assets.com/books/1498057733m/38447.jpg,4.06
119,452306,385729332,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,https://images.gr-assets.com/books/1461611233m/452306.jpg,3.75
120,7604,,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,https://images.gr-assets.com/books/1377756377m/7604.jpg,3.88
121,37442,60987103,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,https://images.gr-assets.com/books/1437733293m/37442.jpg,3.52
123,7937843,316098337,Emma Donoghue,2010.0,Room,https://images.gr-assets.com/books/1344265419m/7937843.jpg,4.03
124,1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",https://images.gr-assets.com/books/1351051208m/1420.jpg,4.0
125,234225,340839937,Frank Herbert,1965.0,Dune,https://images.gr-assets.com/books/1434908555m/234225.jpg,4.19
126,2612,316346624,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980m/2612.jpg,3.92
127,11084145,1451648537,Walter Isaacson,2011.0,Steve Jobs,https://images.gr-assets.com/books/1327861368m/11084145.jpg,4.09
128,332613,451163966,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778m/332613.jpg,4.18
129,2165,684830493,Ernest Hemingway,1952.0,The Old Man and the Sea,https://images.gr-assets.com/books/1329189714m/2165.jpg,3.73
130,4395,142000663,John Steinbeck,1939.0,The Grapes of Wrath,https://images.gr-assets.com/books/1352912927m/4395.jpg,3.92
131,3431,1401308589,Mitch Albom,2003.0,The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9
132,8127,451528824,L.M. Montgomery,1908.0,Anne of Green Gables,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.23
134,62291,055357342X,George R.R. Martin,2000.0,A Storm of Swords,https://images.gr-assets.com/books/1497931121m/62291.jpg,4.54
135,137791,006075995X,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524m/137791.jpg,3.79
136,10964,440242940,Diana Gabaldon,1991.0,Outlander,https://images.gr-assets.com/books/1402600310m/10964.jpg,4.2
137,12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg,3.37
138,9460487,1594744769,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,https://images.gr-assets.com/books/1472782916m/9460487.jpg,3.89
139,6892870,030726999X,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,https://images.gr-assets.com/books/1327708260m/6892870.jpg,4.2
140,18007564,804139024,Andy Weir,2012.0,The Martian,https://images.gr-assets.com/books/1413706054m/18007564.jpg,4.39
141,5043,451207149,Ken Follett,1989.0,The Pillars of the Earth,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.29
143,8664353,1400064163,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://images.gr-assets.com/books/1327861115m/8664353.jpg,4.4
144,976,671027387,Dan Brown,2001.0,Deception Point,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.67
145,17333223,316055433,Donna Tartt,2013.0,The Goldfinch,https://images.gr-assets.com/books/1451554970m/17333223.jpg,3.87
146,1217100,1595141715,Jay Asher,2007.0,Thirteen Reasons Why,https://images.gr-assets.com/books/1333822506m/1217100.jpg,4.02
147,2865,452287022,Tracy Chevalier,1999.0,Girl with a Pearl Earring,https://images.gr-assets.com/books/1327197580m/2865.jpg,3.85
148,4374400,525421033,Gayle Forman,2009.0,If I Stay,https://images.gr-assets.com/books/1347462970m/4374400.jpg,3.96
149,4989,312353766,Anita Diamant,1997.0,The Red Tent,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.16
150,28186,786856866,Rick Riordan,2006.0,The Sea of Monsters,https://images.gr-assets.com/books/1400602661m/28186.jpg,4.23
151,5526,446528056,Nicholas Sparks,2006.0,Dear John,https://images.gr-assets.com/books/1397749854m/5526.jpg,4.01
152,1582996,1416914293,Cassandra Clare,2008.0,City of Ashes,https://images.gr-assets.com/books/1432730356m/1582996.jpg,4.21
153,8852,743477103,William Shakespeare,1606.0,The Tragedy of Macbeth,https://images.gr-assets.com/books/1459795224m/8852.jpg,3.88
154,15241,618346260,J.R.R. Tolkien,1954.0,The Two Towers,https://images.gr-assets.com/books/1298415523m/15241.jpg,4.42
155,42156,031232118X,Emily Giffin,2004.0,Something Borrowed,https://images.gr-assets.com/books/1305063535m/42156.jpg,3.83
156,23772,394800168,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,https://images.gr-assets.com/books/1468680100m/23772.jpg,4.29
157,6310,142403881,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,https://images.gr-assets.com/books/1309211401m/6310.jpg,4.1
158,2120932,1423101464,Rick Riordan,2008.0,The Battle of the Labyrinth,https://images.gr-assets.com/books/1443142158m/2120932.jpg,4.39
159,2623,192833596,Charles Dickens,1860.0,Great Expectations,https://images.gr-assets.com/books/1327920219m/2623.jpg,3.75
160,18512,345339738,J.R.R. Tolkien,1955.0,The Return of the King,https://images.gr-assets.com/books/1389977161m/18512.jpg,4.51
161,49552,,"Albert Camus, Matthew    Ward",1942.0,L’Étranger,https://images.gr-assets.com/books/1349927872m/49552.jpg,3.96
162,7736182,142311339X,Rick Riordan,2010.0,The Lost Hero,https://images.gr-assets.com/books/1464201003m/7736182.jpg,4.35
163,15745753,1250012570,Rainbow Rowell,2013.0,Eleanor & Park,https://images.gr-assets.com/books/1341952742m/15745753.jpg,4.11
164,13497,055358202X,George R.R. Martin,2005.0,A Feast for Crows,https://images.gr-assets.com/books/1429538615m/13497.jpg,4.1
165,7735333,525423648,Ally Condie,2010.0,Matched,https://images.gr-assets.com/books/1367706191m/7735333.jpg,3.68
166,4407,747263744,Neil Gaiman,2001.0,American Gods,https://images.gr-assets.com/books/1258417001m/4407.jpg,4.11
167,149267,385199570,"Stephen King, Bernie Wrightson",1978.0,The Stand,https://images.gr-assets.com/books/1213131305m/149267.jpg,4.34
168,6400090,446547565,Nicholas Sparks,2008.0,The Last Song,https://images.gr-assets.com/books/1286549186m/6400090.jpg,4.14
169,11125,552151696,Dan Brown,1998.0,Digital Fortress,https://images.gr-assets.com/books/1360095966m/11125.jpg,3.6
170,6969,141439580,"Jane Austen, Fiona Stafford",1815.0,Emma,https://images.gr-assets.com/books/1373627931m/6969.jpg,3.99
171,15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,https://images.gr-assets.com/books/1352422904m/15823480.jpg,4.02
172,227463,393312836,Anthony Burgess,1962.0,A Clockwork Orange,https://images.gr-assets.com/books/1348339306m/227463.jpg,3.98
173,1812457,964729237,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,https://images.gr-assets.com/books/1344270232m/1812457.jpg,3.74
174,4502507,739380338,Rick Riordan,2009.0,The Last Olympian,https://images.gr-assets.com/books/1327924597m/4502507.jpg,4.5
175,18342,451169514,Stephen King,1986.0,It,https://images.gr-assets.com/books/1309376909m/18342.jpg,4.18
176,7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,https://images.gr-assets.com/books/1382846449m/7144.jpg,4.18
177,6514,61148512,Sylvia Plath,1963.0,The Bell Jar,https://images.gr-assets.com/books/1473890514m/6514.jpg,3.98
178,252577,7205236,Frank McCourt,1996.0,Angela's Ashes: A Memoir,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.07
179,52036,553208845,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,https://images.gr-assets.com/books/1428715580m/52036.jpg,3.99
180,168642,679745580,Truman Capote,1965.0,In Cold Blood,https://images.gr-assets.com/books/1424931136m/168642.jpg,4.05
181,6304335,316042676,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,https://images.gr-assets.com/books/1327873282m/6304335.jpg,3.76
182,7171637,1416975861,Cassandra Clare,2010.0,Clockwork Angel,https://images.gr-assets.com/books/1454962884m/7171637.jpg,4.33
183,39988,141301066,"Roald Dahl, Quentin Blake",1988.0,Matilda,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.29
184,9361589,385534639,Erin Morgenstern,2011.0,The Night Circus,https://images.gr-assets.com/books/1387124618m/9361589.jpg,4.03
185,37470,743227441,Philippa Gregory,2001.0,The Other Boleyn Girl,https://images.gr-assets.com/books/1355932638m/37470.jpg,4.04
186,24770,689865384,Scott Westerfeld,2005.0,Uglies,https://images.gr-assets.com/books/1443904172m/24770.jpg,3.86
187,10664113,,George R.R. Martin,2011.0,A Dance with Dragons,https://images.gr-assets.com/books/1327885335m/10664113.jpg,4.31
188,33,618640150,J.R.R. Tolkien,1955.0,The Lord of the Rings,https://images.gr-assets.com/books/1411114164m/33.jpg,4.47
189,12262741,307592731,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,https://images.gr-assets.com/books/1453189881m/12262741.jpg,3.96
190,472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,https://images.gr-assets.com/books/1442239711m/472331.jpg,4.35
191,186074,075640407X,Patrick Rothfuss,2007.0,The Name of the Wind,https://images.gr-assets.com/books/1472068073m/186074.jpg,4.55
192,3228917,316017922,Malcolm Gladwell,2008.0,Outliers: The Story of Success,https://images.gr-assets.com/books/1344266315m/3228917.jpg,4.11
193,153747,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale",https://images.gr-assets.com/books/1327940656m/153747.jpg,3.46
194,2728527,385340990,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,https://images.gr-assets.com/books/1351979318m/2728527.jpg,4.12
195,5759,393327345,Chuck Palahniuk,1996.0,Fight Club,https://images.gr-assets.com/books/1357128997m/5759.jpg,4.2
196,301082,441008534,Charlaine Harris,2001.0,Dead Until Dark,https://images.gr-assets.com/books/1468560853m/301082.jpg,3.96
197,11486,671727796,Alice Walker,1982.0,The Color Purple,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.17
198,12691,739461192,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,https://images.gr-assets.com/books/1308858322m/12691.jpg,4.12
199,16299,312330871,Agatha Christie,1939.0,Ten Little Niggers,https://images.gr-assets.com/books/1391120695m/16299.jpg,4.23
200,6411961,385504225,Dan Brown,2009.0,The Lost Symbol,https://images.gr-assets.com/books/1358274396m/6411961.jpg,3.66
201,6339664,1416989412,Becca Fitzpatrick,2009.0,"Hush, Hush",https://images.gr-assets.com/books/1358261334m/6339664.jpg,4.0
202,11505797,,Jamie McGuire,2011.0,Beautiful Disaster,https://images.gr-assets.com/books/1358259032m/11505797.jpg,4.15
203,5326,1561797464,Charles Dickens,1843.0,A Christmas Carol,https://images.gr-assets.com/books/1406512317m/5326.jpg,4.02
204,43763,345476875,Anne Rice,1976.0,Interview with the Vampire,https://images.gr-assets.com/books/1380631642m/43763.jpg,3.97
205,10507293,62059939,Kiera Cass,2012.0,The Selection,https://images.gr-assets.com/books/1322103400m/10507293.jpg,4.15
